gpu_openvino:20: 543.81: 36.78:vgg11:FP32
cpu_openvino:20: 234.61: 85.25:resnet50:FP32
gpu_openvino:20: 374.65: 53.38:resnet50:FP32
cpu_openvino:50: 2737.88: 18.26:vit_b_16:FP32
gpu_openvino:50: 5337.52: 9.37:vit_b_16:FP32
cpu_openvino:50: 984.42: 50.79:vgg11:FP32
gpu_openvino:50: 1343.95: 37.20:vgg11:FP32
cpu_openvino:50: 596.13: 83.87:resnet50:FP32
gpu_openvino:50: 931.93: 53.65:resnet50:FP32
cpu_openvino:100: 5520.55: 18.11:vit_b_16:FP32
gpu_openvino:100: 10678.99: 9.36:vit_b_16:FP32
cpu_openvino:100: 1956.35: 51.12:vgg11:FP32
gpu_openvino:100: 2683.03: 37.27:vgg11:FP32
cpu_openvino:100: 1333.26: 75.00:resnet50:FP32
gpu_openvino:100: 1860.91: 53.74:resnet50:FP32
