#CPU: 11th Gen Intel(R) Core(TM) i9-11900KB @ 3.30GHz
#MEM: 33272352768
#OS: Linux-5.11.7-200.fc33.x86_64-x86_64-with-glibc2.29
cpu_openvino;20: 991.32: 20.18:vit_b_16:FP32
gpu_openvino;20: 2414.49: 8.28:vit_b_16:FP32
cpu_openvino;20: 391.49: 51.09:vgg11:FP32
gpu_openvino;20: 597.99: 33.45:vgg11:FP32
cpu_openvino;20: 224.47: 89.10:resnet50:FP32
gpu_openvino;20: 414.00: 48.31:resnet50:FP32
cpu_openvino;50: 2830.55: 17.66:vit_b_16:FP32
gpu_openvino;50: 5805.16: 8.61:vit_b_16:FP32
cpu_openvino;50: 953.87: 52.42:vgg11:FP32
gpu_openvino;50: 1483.02: 33.72:vgg11:FP32
cpu_openvino;50: 568.80: 87.90:resnet50:FP32
gpu_openvino;50: 1028.88: 48.60:resnet50:FP32
cpu_openvino;100: 6259.84: 15.97:vit_b_16:FP32
gpu_openvino;100: 11655.63: 8.58:vit_b_16:FP32
cpu_openvino;100: 1919.28: 52.10:vgg11:FP32
gpu_openvino;100: 2960.60: 33.78:vgg11:FP32
cpu_openvino;100: 1150.96: 86.88:resnet50:FP32
gpu_openvino;100: 2063.07: 48.47:resnet50:FP32
